image,vrai_label,prediction,confiance,methode,yolo_classe,yolo_confiance,ocr_medicament,ocr_confiance,dosage,latence_s,correct
bruit_IMG-20260612-WA0345.jpg,PHOTOS MEDICAMENTS AUGMENTEES,ROMAC,0.8,ocr_seul,?,0.0,ROMAC,0.8,20 mg,5.93,False
lum_1781268751588.jpg,PHOTOS MEDICAMENTS AUGMENTEES,MAG 2,0.8,ocr_seul,?,0.0,MAG 2,0.8,4 mg,4.11,False
rot_1781527997725.jpg,PHOTOS MEDICAMENTS AUGMENTEES,PENICILLINE G 1 M UI DIAMANT,1.0,ocr_seul,?,0.0,PENICILLINE G 1 M UI DIAMANT,1.0,?,3.1,False
lum_IMG-20260612-WA0013(1).jpg,PHOTOS MEDICAMENTS AUGMENTEES,PONSTYL,1.0,ocr_seul,BOX,0.693,PONSTYL,1.0,?,1.07,False
lum_IMG-20260612-WA0126.jpg,PHOTOS MEDICAMENTS AUGMENTEES,DIALYSE PERITONEALE BIEFFE FORMULE 91,1.0,ocr_seul,BOX,0.836,DIALYSE PERITONEALE BIEFFE FORMULE 91,1.0,?,3.96,False
lum_WhatsApp Image 2026-06-12 at 15.06.53 (3).jpeg,PHOTOS MEDICAMENTS AUGMENTEES,BOX,0.656,yolo_fallback,BOX,0.656,EAU P.P.I.,0.59,?,0.92,False
lum_IMG-20260612-WA0294.jpg,PHOTOS MEDICAMENTS AUGMENTEES,FENAC 50MG,1.0,ocr_seul,?,0.0,FENAC 50MG,1.0,?,2.77,False
bruit_1781527998386.jpg,PHOTOS MEDICAMENTS AUGMENTEES,PRAZOL,1.0,ocr_seul,?,0.0,PRAZOL,1.0,40mg,8.45,False
bruit_1781527998145.jpg,PHOTOS MEDICAMENTS AUGMENTEES,SK-F 12,0.67,ocr_seul,?,0.0,SK-F 12,0.67,?,3.79,False
orig_IMG-20260614-WA0019.jpg,PHOTOS MEDICAMENTS AUGMENTEES,SK-F 12,0.6,ocr_seul,?,0.0,SK-F 12,0.6,?,1.72,False
lum_WhatsApp Image 2026-06-12 at 15.06.18 (1).jpeg,PHOTOS MEDICAMENTS AUGMENTEES,SK-F 12,0.6,ocr_seul,BOX,0.462,SK-F 12,0.6,1 %,1.35,False
rot_1781268751803.jpg,PHOTOS MEDICAMENTS AUGMENTEES,CEFALOTINE PHARMA 1 G (IM - IV),0.67,ocr_seul,?,0.0,CEFALOTINE PHARMA 1 G (IM - IV),0.67,?,3.64,False
rot_IMG-20260612-WA0342.jpg,PHOTOS MEDICAMENTS AUGMENTEES,I3.1,0.67,ocr_seul,?,0.0,I3.1,0.67,0 mg,2.78,False
orig_1781527999016.jpg,PHOTOS MEDICAMENTS AUGMENTEES,PROCLOR,0.86,ocr_seul,?,0.0,PROCLOR,0.86,0 mg,3.63,False
lum_IMG-20260612-WA0322.jpg,PHOTOS MEDICAMENTS AUGMENTEES,ZINNAT,0.8,ocr_seul,?,0.0,ZINNAT,0.8,?,3.03,False
rot_IMG-20260614-WA0010.jpg,PHOTOS MEDICAMENTS AUGMENTEES,?,0.0,ocr_fallback,?,0.0,?,0.0,?,1.71,False
lum_1781527998761.jpg,PHOTOS MEDICAMENTS AUGMENTEES,VENTOLINE 0.5MG/ML /6 AMP 0% (SP),0.64,ocr_seul,?,0.0,VENTOLINE 0.5MG/ML /6 AMP 0% (SP),0.64,?,4.52,False
bruit_IMG-20260614-WA0054.jpg,PHOTOS MEDICAMENTS AUGMENTEES,POLYFRESH 0.2%,0.73,ocr_seul,BOX,0.541,POLYFRESH 0.2%,0.73,?,1.32,False
lum_IMG-20260612-WA0319.jpg,PHOTOS MEDICAMENTS AUGMENTEES,POMEX,0.6,ocr_seul,?,0.0,POMEX,0.6,?,3.78,False
orig_1781527997384.jpg,PHOTOS MEDICAMENTS AUGMENTEES,VASCOR,0.73,ocr_seul,?,0.0,VASCOR,0.73,?,3.15,False
orig_IMG-20260612-WA0151.jpg,PHOTOS MEDICAMENTS AUGMENTEES,ISOLONE,1.0,ocr_seul,BOX,0.743,ISOLONE,1.0,?,0.81,False
rot_IMG-20260614-WA0024.jpg,PHOTOS MEDICAMENTS AUGMENTEES,BIOTIC PLUS,0.73,ocr_seul,?,0.0,BIOTIC PLUS,0.73,?,1.53,False
bruit_1781527999281.jpg,PHOTOS MEDICAMENTS AUGMENTEES,EXFORGE 5 MG/80 MG,1.0,ocr_seul,?,0.0,EXFORGE 5 MG/80 MG,1.0,?,1.48,False
orig_IMG-20260612-WA0126.jpg,PHOTOS MEDICAMENTS AUGMENTEES,"INNOHEP 14 000 UI ANTI-XA/0,7 ML",0.67,ocr_seul,BOX,0.845,"INNOHEP 14 000 UI ANTI-XA/0,7 ML",0.67,?,3.86,False
orig_WhatsApp Image 2026-06-12 at 15.07.34 (7).jpeg,PHOTOS MEDICAMENTS AUGMENTEES,SPIRIVA,0.83,ocr_seul,BOX,0.797,SPIRIVA,0.83,?,0.96,False
rot_IMG-20260612-WA0129.jpg,PHOTOS MEDICAMENTS AUGMENTEES,EXFORGE 5 MG/80 MG,1.0,ocr_seul,BOX,0.312,EXFORGE 5 MG/80 MG,1.0,?,3.27,False
rot_IMG-20260612-WA0011(1).jpg,PHOTOS MEDICAMENTS AUGMENTEES,SOTALEX,0.71,ocr_seul,BOX,0.766,SOTALEX,0.71,5mg,1.19,False
orig_1781527997165.jpg,PHOTOS MEDICAMENTS AUGMENTEES,CODO-LIBRANE,0.73,ocr_seul,BOX,0.406,CODO-LIBRANE,0.73,?,3.72,False
orig_IMG-20260614-WA0029.jpg,PHOTOS MEDICAMENTS AUGMENTEES,ASPEGIC 100MG B/20 STS N (P) (H) (CHC),0.56,ocr_fallback,?,0.0,ASPEGIC 100MG B/20 STS N (P) (H) (CHC),0.56,?,1.37,False
lum_IMG-20260614-WA0007.jpg,PHOTOS MEDICAMENTS AUGMENTEES,I3.1,0.75,ocr_seul,?,0.0,I3.1,0.75,?,1.27,False
lum_IMG-20260612-WA0235.jpg,PHOTOS MEDICAMENTS AUGMENTEES,DERMOVAL,1.0,ocr_seul,?,0.0,DERMOVAL,1.0,?,0.88,False
rot_IMG-20260612-WA0078.jpg,PHOTOS MEDICAMENTS AUGMENTEES,VITAIR,0.83,ocr_seul,BOX,0.474,VITAIR,0.83,?,1.8,False
orig_IMG-20260614-WA0032.jpg,PHOTOS MEDICAMENTS AUGMENTEES,AULIN,0.8,ocr_seul,?,0.0,AULIN,0.8,14g,1.24,False
rot_1781268752449.jpg,PHOTOS MEDICAMENTS AUGMENTEES,VENTOLINE,1.0,ocr_seul,BOX,0.376,VENTOLINE,1.0,?,1.16,False
rot_WhatsApp Image 2026-06-12 at 15.06.52.jpeg,PHOTOS MEDICAMENTS AUGMENTEES,OSSOPAN,0.77,ocr_seul,BOX,0.819,OSSOPAN,0.77,?,1.77,False
lum_1781527998902.jpg,PHOTOS MEDICAMENTS AUGMENTEES,PROCLOR,0.86,ocr_seul,?,0.0,PROCLOR,0.86,5 mg,3.46,False
